Benjamin 'Ben' Linus
Boone 'Boone' Carlyle
Charlie 'Charlie' Pace
Daniel 'Daniel' Faraday
David 'Desmond' Hume
Frank 'Frank' Lapidus
Hugo 'Hurley' Reyes
Jack 'Jack' Shephard
James 'Sawyer' Ford
Jin-Soo 'Jin' Kwon
John 'John' Locke
Michael 'Michael' Dawson
Miles 'Miles' Straume
Richard 'Richard' Alpert
Sayid 'Sayid' Jarrah
Walter 'Walt' Lloyd
Capheus 'Van Damme' Onyango
Lito 'Lito' Rodriguez
William 'Will' Gorski
Wolfgang 'Wolfgang' Bogdanow
Emmett 'Doc' Brown
Martin 'Marty' McFly
Richard 'Rick' Sanchez
Mortimer 'Morty' Smith
